Player,Game Date,Team,S/C,GP,GS,W,L,T,OT,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM
Juuse Saros,2025-01-25,NSH,L,1,1,0,1,--,0,35,30,5,0.857,5.43,55:15,0,0,0,0,0
Elvis Merzlikins,2025-01-25,CBJ,L,1,1,1,0,--,0,33,31,2,0.939,1.89,63:20,0,0,0,0,0
Ilya Sorokin,2025-01-25,NYI,L,1,0,1,0,--,0,1,1,0,1.0,0.0,2:03,0,0,0,0,0
Joey Daccord,2025-01-25,SEA,L,1,1,1,0,--,0,29,28,1,0.966,1.0,60:00,0,0,0,0,0
Casey DeSmith,2025-01-25,DAL,L,1,1,1,0,--,0,33,33,0,1.0,0.0,60:00,1,0,0,0,0
Charlie Lindgren,2025-01-25,WSH,R,1,1,0,1,--,0,25,23,2,0.92,2.04,58:52,0,0,0,0,0
Joseph Woll,2025-01-25,TOR,L,1,1,0,1,--,0,23,21,2,0.913,2.04,58:53,0,0,0,0,0
Stuart Skinner,2025-01-25,EDM,L,1,1,1,0,--,0,41,39,2,0.951,2.0,60:00,0,0,0,0,0
Jeremy Swayman,2025-01-25,BOS,L,1,1,1,0,--,0,28,27,1,0.964,1.0,60:00,0,0,0,0,0
Alexandar Georgiev,2025-01-25,SJS,L,1,1,0,1,--,0,15,11,4,0.733,10.43,23:01,0,0,0,0,0
Lukas Dostal,2025-01-25,ANA,L,1,0,1,0,--,0,33,32,1,0.97,1.5,40:00,0,0,0,0,0
Kevin Lankinen,2025-01-25,VAN,L,1,1,1,0,--,0,33,32,1,0.97,1.0,60:00,0,0,0,0,0
Pyotr Kochetkov,2025-01-25,CAR,L,1,1,0,0,--,1,27,24,3,0.889,2.92,61:42,0,0,0,0,0
Dustin Wolf,2025-01-25,CGY,L,1,1,1,0,--,0,25,21,4,0.84,4.0,60:00,0,0,0,0,0
Yaroslav Askarov,2025-01-25,SJS,R,1,0,0,0,--,0,17,14,3,0.824,4.87,36:59,0,0,0,0,0
Joel Blomqvist,2025-01-25,PIT,L,1,1,0,1,--,0,25,21,4,0.84,4.03,59:36,0,0,0,0,0
Jakub Dobes,2025-01-25,MTL,L,1,1,0,0,--,1,44,40,4,0.909,3.74,64:06,0,0,0,0,0
Petr Mrazek,2025-01-26,CHI,L,1,1,0,1,--,0,27,24,3,0.889,3.08,58:22,0,0,0,0,0
Eric Comrie,2025-01-26,WPG,L,1,1,1,0,--,0,22,20,2,0.909,2.0,60:00,0,0,0,0,0
Igor Shesterkin,2025-01-26,NYR,L,1,1,0,1,--,0,22,17,5,0.773,5.02,59:45,0,0,0,0,0
Mackenzie Blackwood,2025-01-26,COL,L,1,1,1,0,--,0,37,33,4,0.892,4.0,60:00,0,0,0,0,0
Dan Vladar,2025-01-26,CGY,L,1,1,0,1,--,0,27,22,5,0.815,5.05,59:24,0,0,0,0,0
